brand_id,barcode,brand_code,category,category_code,name,top_brand,cpg_id
601ac115be37ce2ead437551,511111019862,,Baking,BAKING,test brand @1612366101024,False,601ac114be37ce2ead437550
601c5460be37ce2ead43755f,511111519928,STARBUCKS,Beverages,BEVERAGES,Starbucks,False,5332f5fbe4b03c9a25efd0ba
601ac142be37ce2ead43755d,511111819905,TEST BRANDCODE @1612366146176,Baking,BAKING,test brand @1612366146176,False,601ac142be37ce2ead437559
601ac142be37ce2ead43755a,511111519874,TEST BRANDCODE @1612366146051,Baking,BAKING,test brand @1612366146051,False,601ac142be37ce2ead437559
601ac142be37ce2ead43755e,511111319917,TEST BRANDCODE @1612366146827,Candy & Sweets,CANDY_AND_SWEETS,test brand @1612366146827,False,5332fa12e4b03c9a25efd1e7
601ac142be37ce2ead43755b,511111719885,TEST BRANDCODE @1612366146091,Baking,BAKING,test brand @1612366146091,False,601ac142be37ce2ead437559
601ac142be37ce2ead43755c,511111219897,TEST BRANDCODE @1612366146133,Baking,BAKING,test brand @1612366146133,False,601ac142be37ce2ead437559
5cdad0f5166eb33eb7ce0faa,511111104810,J.L. KRAFT,Condiments & Sauces,,J.L. Kraft,,559c2234e4b06aca36af13c6
5ab15636e4b0be0a89bb0b07,511111504412,CAMPBELLS HOME STYLE,Canned Goods & Soups,,Campbell's Home Style,False,5a734034e4b0d58f376be874
5c408e8bcd244a1fdb47aee7,511111504788,TEST,Baking,,test,,59ba6f1ce4b092b29c167346
5f4bf556be37ce0b4491554d,511111516354,TEST BRANDCODE @1598813526777,Baking,BAKING,test brand @1598813526777,,5f4bf556be37ce0b44915549
57c08106e4b0718ff5fcb02c,511111102540,,,,MorningStar,,5332f5f2e4b03c9a25efd0aa
588ba07be4b02187f85cdadd,511111201076,CALUMET,Baking,,Calumet,False,559c2234e4b06aca36af13c6
5d6413156d5f3b23d1bc790a,511111205012,511111205012,Magazines,,Entertainment Weekly,,5d5d4fd16d5f3b23d1bc7905
585a9611e4b03e62d1ce0e74,511111801801,AUNT JEMIMA SYRUP,Breakfast & Cereal,,AUNT JEMIMA Syrup,False,5332f5fbe4b03c9a25efd0ba
57e5820ce4b0ac389136a311,511111202233,MOLSON,Beer Wine Spirits,,Molson Canadian,False,5332f709e4b03c9a25efd0f1
5fb6adb8be37ce522e165cb8,511111817376,LOTRIMIN,Health & Wellness,HEALTHY_AND_WELLNESS,Lotrimin®,False,5d9b4f591dda2c6225a284aa
5f358338be37ce443bf9d55a,511111515319,TEST BRANDCODE @1597342520277,Baking,BAKING,test brand @1597342520277,,5f358338be37ce443bf9d557
5fb28549be37ce522e165cb5,511111317364,,Baking,BAKING,test brand @1605535049181,False,5fb28549be37ce522e165cb4
592486bfe410d61fcea3d139,511111300700,ST IVES,Beauty,,ST. IVES,False,5332f5f6e4b03c9a25efd0b4
5c4699f387ff3577e203ea29,511111305125,CHRISIMAGE,Baby,,Chris Image Test,,55b62995e4b0d8e685c14213
5da6071ea60b87376833e34d,511111005650,ALKA SELTZER,Health & Wellness,HEALTHY_AND_WELLNESS,Alka-Seltzer®,,5d9b4f591dda2c6225a284aa
57ebc011e4b0ac389136a335,511111802129,JACK DANIEL'S BARBECUE,Condiments & Sauces,,Jack Daniel's,False,559c2234e4b06aca36af13c6
5332f5fee4b03c9a25efd0bd,511111303947,,,,Bottled Starbucks,,53e10d6368abd3c7065097cc
5332fa7ce4b03c9a25efd22e,511111802914,,,,Full Throttle,,5332f5ebe4b03c9a25efd0a8
5e9f18bfbe37ce3e45b6a77f,511111914549,,Baking,BAKING,PopUp Brand A,,5e9f12f5be37ce3e45b6a77e
592486bee410d61fcea3d133,511111400769,MAGNUM Ice Cream,Frozen,,MAGNUM Ice Cream,False,5332f5f6e4b03c9a25efd0b4
5d66d71fa3a018093ab34728,511111105329,511111105329,Magazines,,Elegant Homes Magazine,,5d5d4fd16d5f3b23d1bc7905
5f493e72be37ce64d0ae36c6,511111316114,TEST BRANDCODE @1598635634882,Baking,BAKING,test brand @1598635634882,,5f493e72be37ce64d0ae36c2
5f4936ddbe37ce52f8314fd9,511111315957,,Baking,BAKING,test brand @1598633693011,,5f4936dcbe37ce52f8314fd8
57ebc2e7e4b0ac389136a34b,511111201915,TACO BELL,Grocery,,Taco Bell,False,559c2234e4b06aca36af13c6
5fd2a0aebe37ce49eb72c0ee,511111518112,,Baking,BAKING,test brand @1607639214411,False,5fd2a0aebe37ce49eb72c0ed
5dc03596a60b873d6b0666cd,511111506249,FROSTED CHEERIOS,Breakfast & Cereal,,Frosted Cheerios™,,53e10d6368abd3c7065097cc
5f494c5f04db711dd8fe87e6,511111916161,TEST BRANDCODE @1598639199674,Baking,BAKING,test brand @1598639199674,,5f494c5d04db711dd8fe87e2
5332f772e4b03c9a25efd125,511111103653,,,,Gold Medal,,5332f5f3e4b03c9a25efd0ae
59dfaad1e4b0a56a2fa69abc,511111100621,GODIVA DRY PACKAGED DESSERTS,Baking,,GODIVA Instant Pudding Mix,False,559c2234e4b06aca36af13c6
5daf33e71dda2c3e1416ae93,511111305910,LARABAR,Snacks,,LÄRABAR™,,5332f5f3e4b03c9a25efd0ae
5f35a0babe37ce6853cff1ff,511111115366,TEST BRANDCODE @1597350074333,Baking,BAKING,test brand @1597350074333,,5f35a0babe37ce6853cff1fd
5fd29590be37ce38bbbefb28,511111718079,TEST BRANDCODE @1607636368717,Baking,BAKING,test brand @1607636368717,False,5fd29590be37ce38bbbefb25
5fd3acb6be37ce0d9386bb40,511111818182,TEST BRANDCODE @1607707830095,Baking,BAKING,test brand @1607707830095,False,5fd3acb5be37ce0d9386bb3e
5bd200a6965c7d66d92731ea,511111504627,COTTONELLE,Household,,Cottonelle,False,550b2565e4b001d5e9e4146f
585a9675e4b03e62d1ce0e7f,511111301691,IZZE,Beverages,,Izze,False,5332f5fbe4b03c9a25efd0ba
5887a17ee4b02187f85cdad3,511111101178,MIO,Beverages,,Mio,False,559c2234e4b06aca36af13c6
5332f765e4b03c9a25efd11f,511111503699,,,,Glaceau vitaminwater,,5332f5ebe4b03c9a25efd0a8
5d66d94d6d5f3b6188d4f04b,511111505365,511111505365,Magazines,,Magnolia Journal Magazine,,5d5d4fd16d5f3b23d1bc7905
5d66d2fd6d5f3b6188d4f045,511111405252,QUILTING SPECIAL EDITION,Magazines,,American Patchwork & Quilting Magazine,,5d5d4fd16d5f3b23d1bc7905
5332f5f3e4b03c9a25efd0ad,511111104025,,,,Gree Giant,,5332f5f3e4b03c9a25efd0ae
5fa1c567be37ce402c4618f1,511111317203,TEST BRANDCODE @1604437351617,Baking,BAKING,test brand @1604437351617,False,5fa1c567be37ce402c4618ef
5a5d1e76e4b0db471c2d0425,511111900337,HERMAN,Beer Wine Spirits,,Herman Joseph's,,5332f709e4b03c9a25efd0f1
55b630d9e4b0d8e685c1421f,511111302629,,,,Sundrop,,55b62995e4b0d8e685c14213
5d602d9d6d5f3b23d1bc7907,511111704935,KEVITA,Beverages,,Kevita Sparkling Drinks,,5332f5fbe4b03c9a25efd0ba
57ebbf75e4b0ac389136a32f,511111902188,DELIMEX,Frozen,,Delimex,False,559c2234e4b06aca36af13c6
5d2f68d96d5f3b107e208da4,511111004844,THE RIGHT TO SHOWER,Personal Care,,THE RIGHT TO SHOWER,,5332f5f6e4b03c9a25efd0b4
592486bde410d61fcea3d124,511111100904,CARESS,Personal Care,,CARESS,False,5332f5f6e4b03c9a25efd0b4
5f16f536be37ce2b30061e27,511111115083,TEST BRANDCODE @1595340086044,Baking,BAKING,test brand @1595340086044,,5f16f535be37ce2b30061e24
5332f6ede4b03c9a25efd0e5,511111603870,,,,Blue Bunny,,5332f6ede4b03c9a25efd0e6
5332fa05e4b03c9a25efd1d6,511111103141,,,,Krave,,5332f5f2e4b03c9a25efd0aa
5f3d6f44be37ce4ddbb1bb3e,511111315513,TEST BRANDCODE @1597861700968,Baking,BAKING,test brand @1597861700968,,5f3d6f44be37ce4ddbb1bb3a
5c76d3cd95144c5375687b4f,511111106876,TEST BRAND CODE,Grocery,,DASH-2249 Brand1,True,5c76d20595144c5375687b4e
5f3ff223be37ce1c81aa1e11,511111115649,TEST BRANDCODE @1598026275245,Candy & Sweets,CANDY_AND_SWEETS,test brand @1598026275245,,5332fa12e4b03c9a25efd1e7
5a8c36dbe4b0ccf165fac9e9,511111204206,SWANSON,Canned Goods & Soups,,Swanson,False,5a734034e4b0d58f376be874
55b630e1e4b0d8e685c14220,511111102618,,,,A&W Rootbeer,,55b62995e4b0d8e685c14213
5f3ff222be37ce1c81aa1e0f,511111415626,TEST BRANDCODE @1598026274668,Baking,BAKING,test brand @1598026274668,,5f3ff222be37ce1c81aa1e0c
5c76db7295144c5375687b50,511111306887,DASH-2249 1,Frozen,,DASH-2249 Brand2,False,5c76d20595144c5375687b4e
5da609991dda2c3e1416ae90,511111805854,511111805854,Health & Wellness,,ONE A DAY® WOMENS,False,53e10d6368abd3c7065097cc
5afda575e4b0c11cfecd49f9,511111104537,KETTLE BRAND,Snacks,,Kettle Brand,False,5a734034e4b0d58f376be874
5ab154dde4b0915382df761f,511111404392,CAMPBELLS SOUP AT HAND ,Canned Goods & Soups,,Campbell's Soup at Hand,False,5a734034e4b0d58f376be874
5f3e9195be37ce5a0e01b960,511111615583,,Baking,BAKING,test brand @1597936021514,,5f3e9195be37ce5a0e01b95f
5fb82faebe37ce522e165ce9,511111117841,RAINBO,Grocery,GROCERY,Rainbo,False,5fb6b608be37ce522e165cb9
